"IBAN/BBAN"         , "Munt", "BIC"     , "Volgnr"            , "Datum"     , "Rentedatum", "Bedrag" , "Saldo na trn", "Tegenrekening IBAN/BBAN", "Naam tegenpartij"                       , "Naam uiteindelijke partij", "Naam initi�rende partij", "BIC tegenpartij", "Code", "Batch ID"        , "Transactiereferentie"               , "Machtigingskenmerk"                 , "Incassant ID"        , "Betalingskenmerk", "Omschrijving-1"                                                      , "Omschrijving-2"                                                                             , "Omschrijving-3", "Reden retour", "Oorspr bedrag", "Oorspr munt", "Koers"
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005412", "2026-08-03", "2026-08-01", "-45,99" , "+11658,98"   , "NL80RABO0107936917"     , "Rabobank"                               , ""                         , ""                       , ""               , "db"  , ""                , ""                                   , ""                                   , ""                    , ""                , "Kosten                             Periode 01-07-2026 t/m 31-07-2026", " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005413", "2026-08-04", "2026-08-04", "+509,02", "+12168,00"   , "NL15CITI2032301393"     , "Booking.com BV"                         , ""                         , ""                       , "CITINL2X"       , "cb"  , ""                , "2006444587"                         , ""                                   , ""                    , ""                , "NO.6YjDoIrjTQfUMQIs/ID.4392906"                                      , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005414", "2026-08-04", "2026-08-04", "+171,47", "+12339,47"   , "NL15CITI2032301393"     , "Booking.com BV"                         , ""                         , ""                       , "CITINL2X"       , "cb"  , ""                , "2006446633"                         , ""                                   , ""                    , ""                , "NO.xmQOsrh8isiQ33jU/ID.5620035"                                      , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005415", "2026-08-04", "2026-08-04", "+392,16", "+12731,63"   , "IE93BOFA99006156923068" , "AIRBNB PAYMENTS LUXEMBOURG S.A."        , ""                         , ""                       , "BOFAIE3X"       , "cb"  , ""                , "M-QBOX5NOG4LDR56FQ2AEC2CQ65GD4IULG" , ""                                   , ""                    , ""                , "Airbnb"                                                              , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005416", "2026-08-05", "2026-08-05", "-6,80"  , "+12724,83"   , "IE35CITI99005132549640" , "Google Cloud EMEA Limited"              , ""                         , ""                       , "CITIIE2X"       , "ei"  , ""                , "GG104H817D"                         , "28187109"                           , "IE34ZZZ362297"       , ""                , "APPS COMMERCE:pgeers.nl:GG104H817D"                                  , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005417", "2026-08-05", "2026-08-05", "-53,78" , "+12671,05"   , "NL31DEUT0265258553"     , "PICNIC BY BUCKAROO"                     , ""                         , ""                       , "DEUTNL2A"       , "ei"  , ""                , "SDD0D1B4C83BAF14110990E3E46D072FA9E", "1BU35F98B13F7124475BB1EF823FBECBEF4", "NL39ZZZ302317620000" , ""                , "Picnic 01-08-2026"                                                   , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005418", "2026-08-05", "2026-08-05", "+126,44", "+12797,49"   , "IE93BOFA99006156923068" , "AIRBNB PAYMENTS LUXEMBOURG S.A."        , ""                         , ""                       , "BOFAIE3X"       , "cb"  , ""                , "M-KZPIINIWHC7UAWFDGKTGQ4AC73OLHDRU" , ""                                   , ""                    , ""                , "Airbnb"                                                              , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005419", "2026-08-05", "2026-08-05", "-7,11"  , "+12790,38"   , ""                       , "Action 1169"                            , ""                         , ""                       , ""               , "bc"  , ""                , "621713103508"                       , ""                                   , ""                    , ""                , "Hoofddorp, 2132 BG, NLD, 15:43"                                      , ". Pas: 6xxxx7082 pasnr. 082 Terminal: 75268902. Appr Cd: 864I52 Google Pay Token: 6xxxx8031", ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005420", "2026-08-06", "2026-08-06", "-1,50"  , "+12788,88"   , "NL89DEUT7023192801"     , "Q-Park Operations Holding BV via Mollie", "STICHTING MOLLIE PAYMENTS", ""                       , "DEUTNL2A"       , "ei"  , ""                , "SD43-6032-5581-0325"                , "MD54-3200-1379-7379"                , "NL08ZZZ502057730000" , ""                , "Uw Q-Park betaling"                                                  , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005421", "2026-08-06", "2026-08-06", "+178,71", "+12967,59"   , "IE93BOFA99006156923068" , "AIRBNB PAYMENTS LUXEMBOURG S.A."        , ""                         , ""                       , "BOFAIE3X"       , "cb"  , ""                , "M-2TYCSZI3DSAP3S6WVFQAVAPX3ZIVAISS" , ""                                   , ""                    , ""                , "Airbnb"                                                              , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005422", "2026-08-07", "2026-08-07", "+237,89", "+13205,48"   , "NL15CITI2032301393"     , "Booking.com BV"                         , ""                         , ""                       , "CITINL2X"       , "cb"  , ""                , "2107394504"                         , ""                                   , ""                    , ""                , "NO.C6Hi4btcxwFnPtdy/ID.5620035"                                      , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005423", "2026-08-07", "2026-08-07", "+783,42", "+13988,90"   , "IE93BOFA99006156923068" , "AIRBNB PAYMENTS LUXEMBOURG S.A."        , ""                         , ""                       , "BOFAIE3X"       , "cb"  , ""                , "M-77U7EUDZNYN53FSLB3YNVCP5LN27ETOM" , ""                                   , ""                    , ""                , "Airbnb"                                                              , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005424", "2026-08-07", "2026-08-07", "+424,88", "+14413,78"   , "DK8789000000014387"     , "Stripe Technology Europe Ltd"           , ""                         , ""                       , "SXPYDKKK"       , "cb"  , ""                , ""                                   , ""                                   , ""                    , ""                , "STRIPE O2K3W3"                                                       , " "                                                                                          , ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005425", "2026-08-07", "2026-08-07", "-41,94" , "+14371,84"   , ""                       , "Action 1169"                            , ""                         , ""                       , ""               , "bc"  , ""                , "621910259895"                       , ""                                   , ""                    , ""                , "Hoofddorp, 2132 BG, NLD, 12:32"                                      , ". Pas: 6xxxx7082 pasnr. 082 Terminal: 03680855. Appr Cd: 280E81 Google Pay Token: 6xxxx8031", ""              , ""            , ""             , ""           , ""
"NL80RABO0107936917", "EUR" , "RABONL2U", "000000000000005426", "2026-08-10", "2026-08-10", "-298,43", "+14073,41"   , "BE93001652149567"       , "Kuwait Petroleum Netherlands BV"        , ""                         , ""                       , "GEBABEBB36A"    , "ei"  , ""                , "2006225989"                         , "9429002351"                         , "BE81ZZZ008D000000196", ""                , "/INV/NLN0774455 31.7.2026"                                           , " "                                                                                          , ""              , ""            , ""             , ""           , ""
